"","PON1","NRXN1","APOBEC2","AP3B2","CST5","GCGR","GFRA3","LMO1","CHRNA4","GABRR1","GAP43","SOD3","TMEM61","GHRH","PAK3","FRMPD4","STMN4","HCN4","ADCY2","SERPINA5","ASB4","SCG5","KCNMB2","MGAT4C","GRIA3","ATP1A2","HAND2","LCN12","SYNGR4","GRIN1","SCGN","MB","NEUROG1","DIRAS3","DSCAML1","KCNC1","PKIB","COL22A1","HAPLN2","SLC4A10","TTBK1","KCNK3","RIPPLY2","KCNJ4","RALYL","RXRG","CELF4","LHFPL5","MS4A8","RNF182","C2CD4B","GRIA2","DCX","CADM2","ZFR2","CPNE4","TCEAL5","CST2","HEPACAM","KCNA1","PCDHA8","NOVA1","PLP1","SNAP91","ONECUT2","KCNB1","C22ORF42","TAGLN3","EPHA8","PCDHB1","RGS8","GPC5","TMEM114","SYT13","GP2","VWC2L","CACNG2","COL20A1","GHSR","ZDHHC22","SOX1","AMER3","SPHKAP","C8ORF86"
"TCGA.52.7811.01A0",9,1,12,65,17,13,173,26,6,177,413,1496,46,1,32,11,1,5,21,80,21,183,44,3,9,57,26,9,2,5,0,30,0,79,17,7,330,118,2,2,10,1142,20,4,0,27,74,1,142,55,98,0,1,6,4,24,5,20,2,7,5,51,8,8,24,11,0,27,1,2,4,21,9,128,0,2,0,0,0,0,1,1,2,0
"TCGA.85.8353.01A0",5,11,2,464,5,2,775,16,2,148,121,1120,35,0,71,37,1,4,23,25,12,234,13,9,18,42,5,35,6,21,0,94,0,46,24,3,73,824,6,3,21,234,6,9,0,20,18,10,30,117,197,2,0,2,6,10,1,6,2,2,0,10,2,6,24,9,0,25,40,1,11,12,3,84,4,0,1,16,0,0,0,2,0,0
"TCGA.85.7844.01A0",5,8,6,2714,8,9,111,44,0,177,293,885,92,0,42,33,2,2,1314,11,6,401,60,844,47,47,44,42,1,18,0,23,3,181,15,2,211,133,3,4,42,286,5,1,10,17,30,8,17,175,85,5,0,21,3,426,35,110,0,2,3,100,5,68,86,5,2,13,6,9,4,61,3,349,1,0,0,0,0,3,0,0,0,0
"TCGA.66.2766.01A0",3,3,153,453,0,3,227,16,0,65,51,1212,11,3,7,97,0,1,2,21,12,1123,203,196,0,49,10,92,13,24,0,55,4,23,13,21,115,26,18,3,24,98,3,12,0,12,60,7,0,179,21,1,0,24,1,133,0,16,0,0,10,162,1,31,56,7,1,5,43,3,1,732,0,503,1,0,0,4,1,0,0,1,0,0
"TCGA.22.0944.01A0",3,148,6,129,1,20,106,2,3,23,146,602,4,2,16,2,2,7,52,35,7,103,42,0,8,11,1,17,8,37,0,148,1,31,17,2,956,514,9,3,21,66,247,0,0,4,4,3,194,30,120,0,0,3,5,2,0,104,0,2,0,21,1,3,133,2,3,74,15,1,0,6,4,280,0,0,0,55,0,6,1,1,1,0
"TCGA.85.7710.01A0",9,4,3,49,0,2,6,63,1,165,3,330,3,0,8,13,1,0,20,15,11,55,4,25,15,12,5,23,8,6,0,61,0,0,5,1,46,40,7,2,15,98,0,3,0,2,4,3,0,530,51,15,1,16,2,288,0,0,0,0,3,34,0,1,35,2,0,5,0,1,4,4,0,320,1,0,0,1,0,0,0,0,0,1
"TCGA.37.4132.01A0",156,37,12,206,5,3,137,5,0,4,34,973,63,1,31,4,2,1,4,16,15,1248,317,3,33,33,0,110,53,73,0,92,0,42,7,12,129,400,13,0,18,140,43,1,4,8,221,3,56,1791,23,5,3,0,4,11,17,2926,2,1,0,511,1,590,1379,1,1,3065,13,0,6,5,1,35,2,4,1,1,0,7,0,0,0,17
"TCGA.NK.A5D1.01A0",15,64,6,690,2,160,831,30,26,27,436,330,73,0,395,13,3,49,111,7,25,1551,16,2,52,7,306,194,3,208,0,24,0,140,61,87,110,3036,13,49,226,1597,49,16,3,111,60,0,1,623,27,274,3,31,131,21,1147,53,2,12,8,337,3,86,126,47,1,162,160,80,46,21,88,564,3,1,1,16,1,24,222,3,0,0
"TCGA.46.6026.01A0",9,512,27,670,2,874,156,101,15,559,245,613,43,126,30,5,73,40,625,25,23,107,76,65,28,81,1,39,243,306,1,101,1,98,261,20,1480,1205,315,4,232,159,81,24,0,13,103,3,1001,191,26,11,3,20,11,490,68,135,3,32,0,51,21,335,479,802,7,679,8,7,3,18,7,512,1,2,15,28,0,79,0,3,9,0
"TCGA.NC.A5HD.01A0",5,351,4,597,1,3,53,3,5,122,26,144,18,6,5,15,1,5,432,13,8,208,42,13,7,5,9,165,2,4,2,21,1,49,31,17,217,189,1,2,4,49,23,5,1,33,149,9,8,30,11,142,2,6,20,186,17,12,0,15,0,12,8,4,84,6,0,31,92,0,0,1,12,341,0,3,0,5,2,1,9,0,80,0
"TCGA.33.AASB.01A0",100,1,25,199,1,27,194,50,357,0,18,431,47,1,23,0,0,10,1,404,74,268,56,3,3,15,1,128,6,222,0,1089,1,15,15,2,3266,35,31,7,15,289,1,10,0,13,728,26,3,327,253,16,0,2,231,80,0,4,0,2,0,104,1,55,196,7,0,7,124,3,0,26,0,2794,0,0,0,106,0,1,1,3,1,0
"TCGA.NC.A5HN.01A0",0,1,11,40,0,265,15,1,2,98,7,208,0,40,4,0,28,2,32,20,0,26,20,8,7,0,0,24,46,42,0,30,3,23,1,6,31,128,6,0,6,0,2,0,0,3,0,0,1,9,1,0,0,10,7,2,15,1,1,0,1,576,3,16,114,0,0,43,37,1,0,2,2,4,0,0,2,2,0,1,0,2,0,0
"TCGA.60.2696.01A0",2,2,18,759,9,7,42,0,1,1,2,1350,6,0,27,2,0,3,15,47,3,101,8,0,6,33,1,18,6,8,0,10,0,47,6,4,271,37,15,1,13,370,0,1,1,10,6,2,21,25,23,0,2,23,8,18,0,2,2,1,8,3,2,3,101,3,0,0,1,4,0,13,0,9,3,0,0,0,0,1,126,0,0,0
"TCGA.77.8150.01A0",0,0,0,351,0,28,32,9,1,42,20,169,1,0,3,18,1,0,4,2,5,11,8,0,8,1,0,21,1,10,0,9,0,5,4,0,17,7,2,0,85,71,42,12,0,6,1,5,1,5,74,0,0,1,1,5,0,1,0,0,1,126,0,2,31,1,0,30,1,0,1,3,2,8,0,0,18,6,0,0,0,1,0,0
"TCGA.39.5021.01A0",4,175,4,236,2,6,1275,8,11,28,215,591,8,21,23,1,1,4,55,6,11,133,49,8,2,8,0,24,4,49,1,8,1,95,8,5,94,92,127,3,18,37,10,7,21,23,94,0,49,189,163,13,1,111,13,39,49,135,1,3,2,124,370,5,189,3,1,37,1,2,5,4,1,1167,0,0,0,2,12,2,0,1,0,4
"TCGA.94.A5I4.01A0",2,131,1,322,2,43,15,24,0,209,4,298,21,0,12,0,2,2,9,5,3,95,73,2,8,18,1,146,1,88,0,63,0,31,5,4,49,53,2,2,10,52,0,26,0,79,6,2,55,31,149,1,1,3,1,4,1,42,0,6,1,6,3,0,34,5,1,15,0,1,0,7,3,7,0,0,0,5,0,0,0,2,0,0
"TCGA.21.5787.01A0",11,2,3,12,0,2,42,23,4,92,13,1108,122,0,28,0,1,7,23,66,7,139,24,23,8,18,2,17,24,46,2,257,0,111,21,1,367,59,3,7,55,282,0,0,0,16,297,79,186,193,111,0,0,1,3,225,4,42,0,4,0,173,8,2,30,24,2,0,1,0,10,4,0,241,0,1,0,0,0,2,0,0,0,0
"TCGA.63.A5MY.01A0",11,11,12,909,1,23,431,31,3,3,6,74,37,0,0,2,9,3,16,3,16,28,215,124,1,35,1,79,5,17,0,281,0,0,3,37,55,33,5,2,277,6,27,2,4,0,53,1,1,7,8,6,0,18,21,5,1,1,0,0,0,3,1,6,328,37,0,3,23,1,0,3,2,5,0,0,3,3,0,0,0,1,0,0
"TCGA.43.6143.01A0",52,389,18,370,6,0,292,5,9,4,406,437,13,0,71,0,98,4,42,90,215,891,74,0,30,57,81,33,20,40,0,350,1,63,63,21,160,230,12,11,32,298,6,10,49,34,215,21,1,219,209,33,0,7,2,34,261,133,1,3,1,847,8,42,551,27,1,7,4,4,66,13,1,2229,0,8,0,0,0,10,0,1,46,0
"TCGA.66.2800.01A0",3,148,4,30,6,35,695,32,35,239,117,851,34,5,23,8,0,2,267,31,6,142,56,74,46,17,8,21,0,49,1,40,0,270,12,5,221,111,4,7,9,341,12,8,4,49,42,3,89,80,56,5,0,4,15,8,6,115,1,0,0,9,23,9,10,6,0,55,7,0,3,25,13,123,1,0,4,1,3,32,0,0,0,0
"TCGA.77.8133.01A0",6,26,4,514,2,24,33,6,8,134,150,716,33,1,92,1,2,1,409,177,1,78,43,234,20,81,21,32,5,9,0,37,2,49,23,3,84,1106,6,6,16,39,2,2,0,9,20,0,16,60,35,16,4,12,5,11,0,78,15,15,0,106,21,142,87,42,0,74,6,1,5,5,2,47,0,0,24,3,1,3,2,1,0,2
