"","FNDC4","ABCC11","ALDH3B2","EDIL3","CHST6","HOXD1","HP","GCKR","ENC1","ACOT12","FUT2","PLA2G2C","SLC6A14","ALPL","DGAT2L6","CNGA3","AOC1","ADRA2C","GDNF","PASK","SRPX2","PLPP4","TCN1","SLC28A3","CD177","STMN2","CA12","IL37","UGT3A2","TNNI3","TMEM255A","WDR49","CALB2","QRFPR","PRPH","CHGB","PKP2","DMBT1","BPIFB1","ABCC12","MTTP","PLEKHS1","ZFR2","C6ORF141","ATP12A","PROK1","FAM196A","HDC","ADH4","SUSD2","COL6A5","SEC14L4","GABRQ","CSMD2","IL31RA","SLC10A4","CORIN","INA","SCN8A","HGNC:18790","IZUMO1R","TGM5","RHCG","PAPPA2","CRYM","SERPINI2","ROS1","PCP4L1","PTH2R","F5","FADS6","FAM26D","NOTO","C6ORF10","KCNA4"
"TCGA.DJ.A3V5.01A",1549,75,137,1872,133,21,27,20,1756,1,153,21,471,598,8,16,113,144,8,905,693,189,30,391,328,89,158,2,5,5,205,6,16,9,37,1076,416,28,18,0,5,55,3,20,3,12,46,15,1,1358,20,26,26,104,0,6,304,23,106,43,1,0,2,18,11,0,4,28,4,452,0,0,0,7,0
"TCGA.ET.A25K.01A",1143,23,20,924,15,1,9,16,562,4,82,4,8,788,12,30,108,168,0,1257,115,12,23,13,4,69,3115,0,4,7,123,0,127,30,9,50,480,13,4,0,2,6,24,4,55,3,17,8,1,962,1,2,40,92,6,35,20,4,234,74,1,0,0,46,3,0,1,18,4,98,1,3,2,0,1
"TCGA.DJ.A2PR.01A",1145,61,0,573,17,1345,56,21,485,15,203,4,149,395,0,281,501,60,1,702,24,23,1,49,13,128,6251,0,6,2,159,0,4,11,9,479,209,4,10,0,12,1,21,9,0,2,23,2,0,4012,7,1,56,16,5,42,47,12,205,42,4,1,0,23,0,0,2,5,6,1818,0,1,0,0,0
"TCGA.KS.A4I9.01A",752,20,27,665,59,61,9,24,877,1,169,15,82,601,6,10,396,49,5,857,84,10,20,315,355,82,341,5,2,3,129,2,4,23,56,103,148,0,8,0,4,5,33,20,10,2,20,5,0,1071,3,2,8,15,2,5,34,56,80,67,0,0,1,15,3,0,1,15,3,186,0,0,1,1,0
"TCGA.ET.A39P.01A",1451,64,4,1029,104,98,3,16,732,0,60,7,37,457,9,39,341,75,5,2105,274,60,12,71,32,21,1418,0,4,4,153,1,71,40,27,5420,194,24,1,0,5,1,32,5,9,17,11,1,0,2053,2,33,10,64,0,8,94,16,42,27,0,3,3,13,1,3,1,10,2,60,4,0,0,2,0
"TCGA.DJ.A2PY.01A",1205,11,9,1952,168,12,34,10,924,3,121,8,283,229,2,6,115,32,27,584,241,124,7,186,1856,104,111,1,0,3,122,1,66,15,44,2486,392,60,9,0,1,15,6,6,0,5,32,5,0,787,6,26,15,71,0,8,137,10,139,26,0,1,0,150,15,1,0,2,0,136,0,2,1,1,0
"TCGA.ET.A40S.01A",8015,1642,335,4881,1209,1620,43847,197,9723,416,1047,71,2493,13421,81,555,7940,5315,428,28018,1782,735,2893,1208,14634,8031,56374,148,1642,175,916,245,863,597,624,15936,2378,706,2284,242,265,1939,400,625,29298,114,362,682,76,42239,15163,211,391,400,616,305,1122,243,2103,2050,61,94,858,2775,562,114,1089,3033,1780,22702,52,159,92,46,21
"TCGA.DJ.A2PW.01A",3553,20,35,578,18,5,42,65,3214,68,160,23,47,1657,4,18,540,228,21,581,156,42,21,24,52,173,1633,10,67,2,153,0,30,17,63,142,466,20,1,0,4,6,199,17,43,6,44,23,0,3778,28,73,33,18,23,23,61,37,151,998,16,8,0,95,4,0,1,9,3,2559,0,2,1,1,0
"TCGA.DJ.A13U.01A",2059,857,30,702,7,8,0,39,477,0,74,26,69,876,0,15,27,95,3,597,52,9,3,47,35,15,1208,1,2,0,94,4,3,3,37,89,247,3,0,6,7,4,47,4,0,4,15,5,0,1574,4,13,46,40,0,5,21,3,92,13,2,2,1,8,1,0,0,8,1,76,0,0,2,0,0
"TCGA.ET.A40T.01A",2134,438,9,1314,146,23,7,52,2271,79,206,12,71,767,7,11,34,199,13,20315,156,28,61,312,3,184,1612,1,68,28,639,5,9,50,25,156,420,47,5,61,6,27,148,20,39,4,25,32,0,2853,16,34,71,32,4,37,66,30,161,289,5,1,40,47,8,0,8,50,5,649,3,0,3,7,3
"TCGA.BJ.A2N8.01A",3910,81,15,1762,69,7,153,46,1304,1,90,24,33,1225,2,37,115,181,4,2192,59,6,7,85,61,15,12121,1,370,4,189,4,40,139,16,63,261,42,6,2,8,26,44,17,1005,15,61,0,1,3625,2,17,197,51,0,98,35,18,254,30,8,4,5,21,12,0,1,188,11,153,2,74,0,2,1
"TCGA.BJ.A192.01A",5035,21,98,831,74,2,12,63,1047,1,133,1,49,1749,1,7,654,30,137,205,66,15,4,64,0,30,15319,0,0,27,101,4,2,23,82,46,7,25,7,2,47,312,7,4,99,3,18,1,0,5374,3,2,3,117,0,67,122,15,71,6,18,32,6,35,15,0,0,785,5,425,12,2,1,0,1
"TCGA.EL.A4K4.01A",1353,46,144,2457,259,12,12,4,843,1,345,7,720,1130,26,9,63,191,51,761,775,401,15,198,308,8,2256,17,3,177,353,7,53,6,21,3749,579,31,42,1,5,47,7,16,7,23,34,11,0,1266,3,1,3,150,3,8,485,75,107,59,2,9,3,27,21,1,0,35,3,163,0,0,0,0,0
"TCGA.ET.A3DO.01A",1642,6,55,503,79,3,18,8,1453,10,367,4,2188,691,16,15,205,56,4,616,105,47,21,666,53,217,261,28,4,2,221,9,10,0,6,2474,330,1,139,0,18,46,24,42,8,7,18,16,1,3297,90,3,7,30,5,21,50,75,200,245,3,7,3,15,5,0,2,40,15,219,1,0,2,12,0
"TCGA.EL.A4KH.01A",568,117,37,362,20,6,100,4,747,21,60,20,37,3257,7,7,221,601,5,5798,71,7,7,24,28,32,289,0,1,23,142,5,15,131,184,101,308,168,13,1,0,12,76,8,3,8,21,13,0,3337,0,3,23,33,2,64,27,0,94,26,3,0,1,17,5,3,0,4,1,119,0,1,4,0,0
"TCGA.CE.A3MD.01A",3750,461,4,2240,150,11,47,84,1738,23,295,18,209,1516,8,35,151,64,35,26920,95,146,4,104,9,34,2042,0,128,12,222,3,28,139,30,724,104,7,4,23,7,10,25,8,18,78,13,17,0,22053,7,26,25,133,1,23,40,7,51,5,2,1,0,18,0,1,4,693,17,683,7,15,0,4,0
"TCGA.E3.A3DZ.01A",578,17,4,2248,55,4,21,15,1021,1,80,6,82,611,3,17,407,95,1,1616,46,10,1,76,0,3,2236,0,6,17,55,1,0,139,15,127,27,5,0,0,2,1,128,11,16,7,52,3,0,1190,0,2,142,185,0,104,18,18,274,26,1,1,3,103,3,0,0,55,2,40,17,10,8,1,5
"TCGA.EL.A3CP.01A",727,74,5,1616,55,6,12,12,2463,2,69,3,18,340,11,21,16,94,2,840,179,13,12,21,890,67,416,1,10,0,341,4,7,136,27,34,1082,34,2,0,1,11,26,16,1,1,21,5,3,3093,1,2,26,39,1,16,98,9,81,9,10,0,0,25,71,2,0,25,12,160,1,1,0,2,0
"TCGA.DJ.A2PN.01A",1546,23,32,1460,9,15,1,30,1201,7,98,3,283,1133,21,15,94,148,5,998,101,13,11,61,12,97,1673,15,5,2,55,2,0,55,46,37,462,6,8,0,0,33,57,7,5,5,49,5,2,1762,0,2,24,115,4,52,52,4,101,113,6,2,0,34,7,0,5,63,2,1054,0,1,0,3,3
"TCGA.EL.A3ZQ.11A",627,15,0,425,21,15,26,10,755,1,78,2,6,377,2,4,17,94,3,1722,115,16,3,31,8,3,217,0,10,12,107,9,6,7,32,243,97,7,1,2,8,1,25,209,33,9,32,15,12,2974,1,1,5,74,0,8,84,15,181,53,28,0,1,191,61,9,0,37,8,1150,3,0,0,5,4
"TCGA.BJ.A3PR.11A",510,6,0,123,17,0,15,6,265,1,63,0,10,372,0,3,52,69,6,1351,64,10,3,21,2,11,122,0,5,2,23,11,1,33,39,215,49,15,12,2,4,21,28,18,11,1,8,0,0,2265,1,8,2,20,3,17,17,9,25,40,4,13,6,37,8,2,0,50,4,239,4,1,2,0,0
"TCGA.KS.A41J.11A",341,20,1,300,17,2,15,4,650,0,79,0,8,322,2,31,43,37,2,1853,47,15,1,40,1,15,3817,0,4,8,49,40,32,1,40,732,47,2,3,3,30,13,32,146,15,6,16,3,3,1282,15,8,5,34,3,44,71,30,183,68,17,2,0,154,11,7,1,84,8,262,3,3,0,2,3
"TCGA.EL.A3MY.11A",672,17,0,1021,16,1,13,15,549,1,60,0,6,642,1,11,24,75,0,981,61,23,0,10,0,27,4347,0,1,1,39,2,0,28,31,84,37,12,2,1,11,0,27,27,3,3,11,6,3,5252,0,13,6,68,0,23,52,4,97,37,3,0,1,322,16,1,0,713,4,55,1,4,0,2,0
"TCGA.BJ.A2NA.11A",453,9,3,227,11,6,6,5,391,0,42,0,2,792,2,10,55,60,1,850,40,5,1,17,10,6,534,0,6,0,42,2,4,63,16,990,99,3,0,2,13,3,15,17,8,5,8,1,0,2062,0,4,4,44,1,50,33,40,49,85,12,1,0,163,24,2,0,23,1,134,1,5,0,4,4
"TCGA.EL.A3GZ.11A",126,18,0,247,12,0,0,1,349,0,56,2,8,436,2,7,2,26,0,771,65,3,1,10,0,0,1029,0,1,3,37,0,5,34,9,184,24,2,1,4,21,0,11,31,20,6,7,1,5,1005,1,3,10,46,0,42,37,11,103,42,9,0,0,105,8,0,3,27,1,120,0,1,0,1,1
"TCGA.EL.A3T8.11A",471,23,2,338,18,3,39,5,636,2,73,0,7,310,2,8,23,37,2,1003,95,25,3,23,23,0,1275,0,1,6,71,5,3,23,31,160,37,4,10,1,9,15,30,108,7,13,21,3,1,1947,7,11,13,33,1,23,47,6,81,63,15,2,1,84,21,3,0,64,5,682,0,2,1,0,2
"TCGA.EL.A3TB.11A",247,13,0,724,26,2,9,2,522,1,66,3,6,658,1,9,2,84,0,1258,113,10,0,27,27,2,2787,0,1,0,122,11,4,37,18,57,34,3,0,3,24,3,33,74,8,9,15,5,21,1516,2,8,15,63,0,50,53,3,65,74,11,1,0,240,23,3,0,55,0,100,0,2,0,2,0
"TCGA.EL.A3ZT.11A",200,23,0,310,11,2,4,16,381,0,103,4,3,219,1,9,9,74,0,1468,49,4,0,25,0,0,317,0,0,5,35,9,3,0,21,194,7,4,1,1,47,2,47,74,1,1,5,1,3,2172,0,10,21,21,2,26,56,1,146,21,10,0,0,126,6,3,1,106,2,74,1,1,2,2,6
"TCGA.DO.A1JZ.11A",341,15,0,234,23,0,3,1,277,0,35,2,63,438,2,11,17,143,1,836,27,35,0,28,1,1,654,0,3,1,27,4,61,61,25,230,80,0,1,0,5,5,21,3,2,0,8,0,1,503,0,3,21,17,0,39,44,4,120,25,1,1,1,108,3,1,0,68,4,203,2,1,1,1,0
"TCGA.H2.A2K9.11A",472,25,2,281,23,1,21,13,586,1,139,7,59,478,2,39,88,46,1,1620,71,15,8,65,9,28,356,3,2,2,89,12,1,10,31,2202,171,9,7,1,39,13,35,42,4,8,81,5,4,2833,1,11,129,57,4,21,61,92,162,82,11,1,2,222,27,3,3,55,10,229,3,0,3,2,2
"TCGA.EL.A3ZG.11A",208,2,0,80,5,1,1,3,86,0,40,1,12,111,1,1,3,37,0,533,26,11,1,6,1,0,57,0,1,1,9,7,1,8,15,60,11,9,2,0,15,1,9,55,3,2,10,2,0,743,1,3,5,7,1,6,31,3,25,11,9,0,0,33,6,2,0,11,0,101,2,0,1,0,0
"TCGA.EL.A3MW.11A",465,11,0,1044,39,3,2,9,551,0,61,3,10,179,3,5,5,47,1,815,101,16,3,43,6,3,1301,0,5,0,51,11,5,6,12,78,60,2,1,1,12,0,13,59,18,2,13,21,4,2426,1,5,6,34,3,10,42,2,114,56,30,7,1,183,60,0,2,27,0,514,0,1,0,1,3
