"","PID1","ABCA9","GRIA1","MMRN1","GPC3","ACKR2","NRXN1","MASP1","RELN","LYVE1","KLHL4","IGSF10","VSTM2A","FGF10","GLI1","DPT","TFPI","WNT11","F10","MYOC","ADH1C","SUCNR1","PIK3C2G","DCDC2C","NLGN3","C1QTNF7","TNNT3","FBLN5","FGL2","CFD","CHRDL1","SLC1A7","SLC17A7","FOXD3","ABCA10","FLRT2","DBX2","ABCA6","GDF10","PCSK6","BRINP3","PGM5","ADH1B","VIT","MYOZ3","NTN1","RSPO3","SVEP1","ART4","FAM180B","OSR1","AKNAD1","CHODL","FMO2","PODN","PLD5","CCBE1","GFRA1","SCARA5","RERGL","LRRN4CL","ZP2","HHIP","TNXB","KCNIP1","APOD","CYP8B1","STK32B","NDNF","KLHL33","FBLN1","SV2B","TMEM132C","ROBO3","PHF24","DES","TSPAN11","MYZAP","ANGPTL5","MFAP4","FAM135B","DAB1","DIO3","CHST9","MRAP2","PCOLCE2","CPED1","OTC","FLNC","DCN","ACTN3","C6","MAB21L1","HGF","NPY5R","FAM180A","GFRA3","OGN","ACSM2A","SOX21","CCL21","SCN3A","OLFML1","ALDH1A2","SRPX","HSPB6","FXYD1","L1TD1","TBX1","GSTM5","RHAG","LMX1A","OSTN","TSPAN8","ASPA","PI16","ABCA8","FMO1","TNFAIP8L3","HMGCLL1","LAMA2","BPI","FAM205C","IL33","EFNA5","PKDCC","PTGFR","MEOX2","BHLHE22","LGI1","CXCL12","GAS1","FGF7","PLCXD3","PRRX1","TMEM119","C14ORF180","KCND2","PDGFRA","FBLN2","LYPD6","COLEC12","NAV3","OMD","HTR2A","ENPP6","CNTN1","HAND2","MYH11","GFPT2","ZIC2","CMTM5","TSKS","C7","BMP5","MAB21L2","ZNF488","TRHDE","CDH19","SLC30A10","RGS7BP","OXGR1","KIAA1755","GLYATL2","GCOM1","C1S","GSC","OSR2","XPNPEP2"
"TCGA.DO.A1JZ.11A",153,86,0,278,159,151,15,30,259,308,35,189,9,21,26,1078,380,797,86,238,7,271,0,3,60,178,92,2548,929,696,939,18,67,3,40,1212,1,74,1068,37,23,445,61,68,10,63,31,372,67,126,44,2,30,59,574,7,16,386,525,73,39,0,18,1203,4,698,6,23,185,11,1566,17,9,297,6,177,97,23,9,529,20,10,8,1,3,175,236,0,159,3677,24,5,6,146,5,32,4,290,0,1,1177,26,203,34,454,261,13,15,24,484,0,3,0,9,95,462,413,15,90,7,420,8,1,228,148,217,6,217,12,2,2683,161,118,61,783,401,1,17,241,2396,7,166,34,151,3,3,92,23,1386,1159,0,8,8,485,74,92,4,17,17,4,17,3,40,2,7,1551,8,8,9
"TCGA.H2.A2K9.11A",744,601,16,5466,1044,340,82,209,1042,1726,268,545,10,144,169,4843,2139,311,360,173,126,1589,5,9,130,370,113,4290,5098,2070,3869,67,154,3,199,2723,12,636,535,267,130,1345,2891,234,94,510,328,1320,428,404,283,6,134,1087,2212,31,32,880,1768,220,241,3,90,3521,55,6443,25,184,175,21,14425,231,215,666,105,1665,943,100,30,5206,23,49,73,4,56,229,967,26,1208,27232,20,211,42,598,24,133,8,1402,12,9,17405,477,777,382,1365,1124,60,21,222,442,1,6,16,198,153,4058,1275,165,248,61,2031,12,2,1967,374,385,80,568,117,18,8514,722,947,403,5159,1470,15,56,1639,6102,37,1738,172,701,10,57,396,133,10448,654,7,6,18,17527,126,189,23,39,27,2,57,47,255,6,12,19133,24,151,76
"TCGA.EL.A3ZG.11A",211,140,26,1323,442,56,21,55,385,1023,73,111,1,18,53,3934,986,337,169,1201,61,295,1,2,10,113,165,1369,1339,5526,1033,21,56,11,139,1106,9,115,117,43,15,537,465,68,12,189,44,327,87,105,76,5,18,271,518,12,16,295,391,136,160,3,13,631,15,3018,3,61,52,1,3557,27,16,330,20,234,244,71,4,1208,5,7,15,1,7,84,61,2,341,9960,7,49,21,69,12,30,13,367,18,12,15761,78,217,88,679,427,37,47,281,84,1,9,0,63,56,442,612,84,124,23,304,6,0,293,191,239,5,215,28,10,3250,193,221,67,933,594,16,18,343,1498,6,431,46,153,5,7,44,11,1116,455,3,6,11,1051,26,31,8,5,11,3,1,7,37,7,9,2160,12,57,9
"TCGA.EL.A3MW.11A",1005,693,21,4651,2067,282,80,111,1586,2620,465,1659,61,234,351,10554,2461,675,635,823,175,2305,15,3,146,1101,220,5061,7403,3238,7862,310,286,6,252,3720,37,853,1348,272,211,1584,3238,413,159,455,526,1700,515,555,493,16,209,1202,3759,65,74,1223,4100,228,490,8,144,5809,87,6350,20,178,203,32,28503,73,121,554,55,3506,1044,149,98,10033,13,47,49,4,50,431,959,37,1369,52230,11,98,55,529,88,301,37,5201,13,5,9644,534,1289,452,2255,1650,84,98,219,636,1,31,53,150,259,4585,2707,376,400,75,2928,47,1,1633,268,512,128,748,113,28,6683,1060,1224,447,6963,2646,26,89,2551,12874,25,2173,252,1418,56,43,667,181,10068,981,2,7,15,7588,111,274,18,63,53,7,55,20,497,20,20,15845,67,363,244
"TCGA.BJ.A28R.11A",996,884,26,3666,2101,206,50,327,1252,1721,158,832,1,189,122,7745,2533,403,396,139,74,1551,3,1,74,392,106,6512,5824,2546,4399,86,136,4,252,2602,28,624,534,234,184,1608,3370,308,37,270,447,2673,441,265,376,5,133,576,2803,27,51,1162,1976,148,173,3,53,3204,42,7881,17,140,61,15,16815,178,169,270,88,2585,701,108,65,7312,9,79,105,4,40,264,857,30,790,38649,23,308,75,551,57,158,6,2142,13,16,13379,277,894,244,1541,937,79,94,162,606,1,8,8,168,173,2859,2718,199,240,59,2311,27,6,2185,236,406,123,667,111,17,13638,1155,1118,416,5025,1851,15,56,2540,7412,23,1833,168,1029,3,63,477,165,9531,616,8,6,32,23373,59,234,9,15,32,2,60,15,286,2,6,25421,56,194,57
"TCGA.EM.A1YC.11A",911,790,76,5126,1968,423,49,500,1075,3183,366,311,30,55,177,9736,4300,624,1010,308,68,2969,5,4,80,1010,189,8325,6000,3064,3064,80,592,5,396,2519,55,438,835,179,188,1415,3546,206,94,660,158,1740,525,687,1075,35,101,1116,3122,90,151,748,1449,494,545,20,153,2417,181,8560,34,197,80,2,14031,128,60,654,189,3751,1003,400,250,5942,15,30,23,4,30,431,684,5,800,30004,0,127,137,468,73,211,56,4210,49,37,64195,530,1369,126,2978,3095,188,35,710,1148,4,8,9,711,327,1770,1318,181,520,27,1197,37,2,1538,514,680,50,1590,107,15,9659,763,980,206,5962,3770,23,46,1254,7103,13,1878,139,1362,15,9,391,300,6584,422,1,15,40,4317,57,616,30,5,67,2,21,71,343,15,1,18124,104,159,69
"TCGA.ET.A2MX.11C",526,442,37,3248,847,208,49,95,1185,2464,117,376,5,139,184,6056,1831,257,353,654,92,1233,0,2,53,343,101,4776,2696,2007,2687,37,126,12,267,2172,10,305,702,205,103,926,1793,75,98,261,199,607,171,240,184,8,172,937,1531,46,35,671,811,287,135,9,85,1082,89,3275,20,194,27,7,8326,56,92,819,67,185,612,183,27,3589,4,21,30,5,31,146,327,4,642,21784,2,184,47,267,37,79,27,945,4,18,14541,196,548,42,1256,855,84,75,280,866,3,2,1,61,100,636,904,142,285,39,1124,10,1,1007,478,353,12,498,82,5,5028,471,800,236,2367,737,20,34,712,3100,16,930,131,400,28,7,222,74,2844,668,1,8,16,5249,74,247,8,7,39,5,4,6,111,5,16,6710,30,131,30
"TCGA.BJ.A290.11A",1511,1242,15,3882,1936,454,63,330,1430,1726,253,1166,39,203,346,4104,3581,465,806,3955,122,1355,8,18,189,887,175,8116,4924,10073,9366,315,338,9,450,4142,21,717,1780,341,225,2641,2979,698,111,795,461,2591,495,658,1169,9,108,1801,6530,123,74,1433,7615,206,602,8,275,5964,160,19054,44,139,310,55,38624,156,156,666,118,9233,982,172,113,11708,5,168,148,5,63,3165,1159,9,1770,67845,37,150,66,575,103,275,47,3289,15,15,11469,295,1487,327,1826,2963,107,17,460,968,2,63,33,609,262,6957,4152,159,383,61,4054,12,4,2134,1142,999,255,866,118,42,11492,2742,1726,376,9438,2424,63,56,2966,16857,43,2082,301,1272,79,165,385,160,27922,777,15,23,34,16991,88,148,60,84,55,11,142,16,317,15,10,17838,35,544,453
"TCGA.EL.A3TA.11A",526,429,23,1294,1094,166,40,111,649,693,37,350,3,82,173,3372,1143,359,250,357,55,633,1,2,100,318,177,3824,1883,1501,1992,53,119,6,189,2005,8,323,382,117,66,644,1180,114,71,153,108,853,163,203,118,7,61,824,1678,39,47,343,724,240,64,5,103,1405,31,8750,16,67,60,17,6288,67,43,611,26,922,458,74,15,2928,15,17,43,2,40,113,304,4,377,18176,5,74,23,312,17,63,21,636,6,5,6503,103,465,71,1140,863,37,78,117,460,2,5,1,126,143,790,1197,136,171,37,1122,13,5,566,530,590,34,257,33,6,2803,226,438,215,1691,1146,27,23,887,2910,15,644,131,351,13,6,228,111,4430,675,0,8,13,4817,79,208,12,33,32,2,15,23,86,7,11,5631,33,134,26
"TCGA.BJ.A2N9.11A",573,584,44,3576,1146,211,37,133,1414,2387,254,370,3,97,153,6160,2330,315,423,841,55,735,7,5,87,285,118,3600,4700,4076,3435,49,143,7,172,1592,10,304,442,150,79,1457,2011,115,37,554,274,1491,308,142,281,9,66,757,771,40,37,1025,1130,56,306,1,63,3181,37,6887,15,106,99,9,14145,92,166,642,130,1156,564,177,15,5062,8,12,94,4,20,490,350,6,1005,22130,15,153,28,323,27,47,24,1195,18,16,46674,131,769,438,1007,860,63,23,314,303,3,5,9,248,136,2712,1615,186,343,33,1019,25,2,1264,406,389,80,422,103,15,11457,732,641,285,3966,1256,23,27,976,4135,23,1491,133,438,4,53,217,51,3002,728,10,4,17,16807,63,95,15,23,18,4,4,28,177,13,10,21200,24,162,84
"TCGA.BJ.A3PU.11A",422,275,5,3862,895,292,24,140,872,2180,231,280,10,64,156,4191,1777,594,447,150,34,549,4,9,76,268,84,3669,2794,3522,4678,81,161,2,156,2417,15,298,573,238,100,1420,1311,97,110,396,179,859,315,203,254,13,40,401,2132,12,49,641,2033,333,229,1,71,3238,61,1820,37,120,113,15,11908,183,57,950,78,2883,688,150,68,4798,26,25,61,3,43,330,416,53,920,26181,5,94,33,379,21,63,32,1192,12,8,22899,267,485,300,1538,821,69,30,311,443,1,17,5,146,162,1715,1459,47,274,15,845,9,1,1664,431,523,65,381,49,8,5010,592,781,241,2590,1011,61,21,865,8551,15,1280,118,468,28,17,126,98,8405,985,4,3,11,3288,30,162,21,16,32,4,35,49,103,9,9,9484,28,98,127
"TCGA.EM.A1CT.11A",1071,933,23,8569,727,274,99,277,1948,5297,356,598,30,114,178,5351,4221,431,523,3004,129,938,55,10,85,986,247,5521,4525,6047,8130,442,254,7,196,1727,8,549,1124,285,177,1980,2969,512,73,846,211,1133,737,560,389,18,47,983,4253,53,69,766,4244,254,735,2,165,4933,64,10024,30,425,184,17,24786,144,76,573,131,907,899,183,76,7474,9,21,106,12,30,2313,671,4,1387,43530,12,130,52,290,63,242,34,2727,64,6,19984,231,936,472,1195,1386,88,5,562,835,4,31,17,374,133,5700,2637,124,374,23,1818,24,1,1428,715,322,137,472,63,32,4968,1186,785,285,5743,1711,37,98,1726,10941,49,2261,115,1408,33,68,175,128,4662,716,7,15,30,7559,79,220,42,17,108,2,26,49,322,10,13,10292,31,169,139
"TCGA.EL.A3ZS.11A",303,53,11,312,171,23,59,67,110,196,21,51,2,13,16,4459,807,175,154,16,7,87,2,0,30,30,113,1171,3457,978,287,8,32,4,55,265,2,169,51,33,27,289,917,292,15,26,206,661,231,30,80,9,40,119,156,35,21,441,111,12,49,0,2,232,7,722,6,86,8,1,1662,80,122,362,52,131,293,80,4,1197,4,17,26,3,24,191,56,6,103,5321,9,37,7,87,15,7,2,136,3,1,49130,66,250,23,524,82,56,9,142,142,0,1,1,18,25,267,209,52,139,49,178,16,4,800,121,185,56,88,76,9,7099,1185,289,148,1268,1878,0,7,577,741,1,483,28,49,5,69,95,86,549,304,3,7,69,4562,37,47,1,24,5,2,4,0,189,12,8,9604,59,118,21
"TCGA.BJ.A2N7.11A",458,604,39,4614,1122,330,51,193,1098,3718,259,641,3,179,99,4367,2583,790,197,982,117,769,3,1,82,392,113,3721,3823,1579,2934,61,104,4,249,2794,11,362,469,255,60,1464,1917,57,61,445,264,757,338,82,106,3,74,598,1599,60,63,692,531,169,226,8,46,2216,39,12467,28,184,166,18,5797,135,76,503,80,405,931,142,11,4702,18,31,107,11,20,113,458,37,614,14759,5,55,30,211,9,71,16,840,32,6,16510,455,503,118,788,432,46,23,301,311,1,7,3,40,168,988,1721,169,274,56,1106,20,4,686,413,257,8,317,47,3,5435,356,614,140,2963,845,34,69,1262,3553,34,1202,153,376,11,9,221,168,4370,507,2,7,15,4619,129,229,7,40,49,5,26,63,142,5,12,5178,37,40,16
"TCGA.EL.A3ZH.11A",452,346,9,1859,831,211,18,142,529,1209,94,254,10,43,106,1646,725,139,407,1168,12,213,23,5,56,281,193,3020,1997,5977,3719,43,95,4,206,779,2,353,917,98,43,322,857,330,87,230,61,613,135,207,111,8,61,507,2050,37,23,232,1838,74,74,0,203,1436,25,4651,18,80,71,4,10878,63,23,653,15,327,211,42,49,2840,11,10,32,1,30,491,341,4,240,29721,12,81,6,127,30,92,11,876,9,2,6664,76,283,61,1166,821,47,37,131,327,0,17,3,239,134,2536,802,40,391,15,1006,12,2,679,126,391,20,123,40,4,2046,261,213,105,1487,874,16,15,688,4416,16,702,74,683,13,15,168,37,2072,498,2,11,15,2593,17,49,4,21,32,4,12,42,34,5,9,6160,10,66,64
"TCGA.ET.A3DW.11A",445,535,21,5980,566,217,61,74,1605,4542,197,242,23,49,95,2901,2556,340,168,717,43,1209,25,5,60,385,131,2955,2608,3737,3303,40,169,6,103,1439,9,295,236,160,42,1044,1808,171,114,301,71,418,350,188,282,15,50,724,1146,24,92,325,999,240,211,3,60,2137,30,4441,11,160,100,11,4746,49,23,384,42,644,400,131,49,1400,8,6,16,6,17,118,335,21,702,16816,12,73,23,160,10,92,23,983,13,7,10222,522,314,146,711,495,44,53,287,265,2,7,7,105,100,403,1442,55,298,21,698,9,1,603,530,211,9,337,42,5,2984,160,293,69,2179,616,28,25,475,3339,31,1496,75,396,15,1,131,42,5227,541,9,6,8,2098,47,308,8,13,64,4,33,42,104,2,9,4058,21,26,33
"TCGA.ET.A2N5.11B",433,624,15,2721,1082,350,40,128,812,1104,234,322,23,82,146,3567,1927,404,304,1840,61,1082,2,3,61,562,179,3172,2761,2803,2134,61,130,3,315,2344,20,289,611,265,79,1348,1056,156,59,337,71,848,490,317,318,9,74,565,1587,82,46,578,477,175,154,13,46,2058,80,10181,30,191,18,11,5843,173,23,322,49,249,874,140,11,3346,6,8,51,2,18,46,341,1,639,17034,13,43,23,203,25,86,3,674,20,30,13333,348,427,119,581,502,47,50,338,555,2,1,2,88,67,735,1744,197,274,24,1289,15,4,790,301,374,7,414,34,1,4109,821,436,92,1990,1246,13,43,848,3519,8,912,154,379,23,7,220,146,1626,226,0,2,16,1239,89,252,10,2,24,4,20,7,153,2,10,3902,44,30,10
"TCGA.EM.A3ST.11A",413,391,30,3070,1237,158,51,122,766,3080,84,107,71,23,169,6599,1603,787,624,2578,94,844,15,8,55,379,366,3214,1893,4101,2217,89,178,10,208,922,15,335,726,60,21,1314,1881,454,76,268,69,1086,322,490,372,17,52,453,1845,12,26,198,1577,153,359,2,67,2079,46,12868,30,94,68,0,8808,55,43,557,51,3266,447,120,39,3883,7,18,23,4,37,491,165,7,844,25971,8,31,40,101,15,146,59,841,28,12,15788,108,555,165,886,704,110,42,374,547,2,24,0,143,117,2613,1584,63,206,23,945,18,1,363,522,494,30,477,42,11,3565,445,436,63,1899,1357,40,23,887,5912,27,950,61,590,7,3,71,44,2702,328,15,15,23,3392,47,253,25,7,44,0,2,10,261,6,1,6996,32,118,39
"TCGA.EL.A3T1.11A",664,606,17,4831,900,257,27,201,1862,3213,420,442,15,149,292,5904,2215,602,502,1375,80,1369,21,8,110,479,175,4027,5229,3860,6300,103,168,5,252,1639,5,584,953,189,84,1450,1998,295,86,801,295,1554,264,337,169,8,59,535,2546,27,50,614,2993,111,308,5,126,5794,52,3576,15,178,181,3,18467,151,130,465,101,507,882,114,39,5174,18,11,46,2,37,1108,535,11,1988,44574,35,80,20,405,47,471,15,3103,20,1,26597,184,909,370,1824,1129,57,47,228,549,8,23,1,154,177,4059,2161,100,633,37,1874,26,5,1396,293,775,56,300,85,9,7035,641,1025,217,4384,1780,15,55,1168,9120,35,2127,203,1232,20,47,197,35,3676,1603,1,7,27,8741,186,330,6,15,57,7,15,9,249,10,40,19521,21,243,124
"TCGA.EM.A1CV.11A",360,286,4,1707,539,198,21,100,650,1414,172,312,2,49,73,3468,1080,133,239,647,39,531,5,0,80,295,136,2391,1442,1039,2295,56,199,0,71,1582,1,189,653,79,15,623,1908,236,40,308,61,468,208,253,203,8,37,422,1592,33,21,404,1770,190,165,2,87,1957,18,1422,23,63,92,6,8071,18,43,419,30,498,247,69,30,2698,5,21,31,0,12,277,300,0,536,16053,5,44,12,114,25,74,3,797,9,2,4644,95,311,99,539,447,25,42,92,318,0,13,7,40,88,2402,934,49,169,15,502,4,2,368,134,250,13,222,24,27,3028,303,207,151,1559,658,17,24,622,4873,21,860,56,600,21,3,88,37,5497,319,1,3,15,1466,86,300,4,35,9,1,23,18,111,0,8,3185,23,42,34
"TCGA.EM.A1CW.11A",184,222,12,1848,623,137,21,67,698,999,89,254,9,31,24,2993,1089,153,65,226,42,763,2,1,30,232,84,1695,2295,133,1019,12,66,0,94,2276,5,188,472,94,37,653,573,51,9,108,111,355,137,55,55,3,131,357,194,47,20,290,154,60,61,5,15,245,20,1589,9,78,47,6,1764,49,15,146,33,49,185,78,15,1078,4,11,5,2,5,61,242,4,129,7875,1,69,11,189,20,46,2,485,8,18,6710,92,348,75,450,160,20,15,49,119,2,0,1,21,63,177,639,111,114,6,1063,5,1,618,133,123,6,222,28,1,3352,207,637,104,1636,292,4,26,407,686,15,367,51,239,30,10,154,40,702,190,1,0,1,5492,42,65,6,16,13,2,9,9,65,3,12,3645,5,9,6
"TCGA.EL.A3N3.11A",551,803,31,3721,682,139,111,227,1185,1912,285,945,3,148,73,5951,1947,318,211,2198,42,921,28,8,74,333,153,3762,4350,1721,3610,59,87,5,259,1937,5,695,310,189,89,1089,2136,481,13,308,274,1607,357,110,95,9,100,863,1362,37,61,1334,888,103,171,3,53,3139,20,4060,20,181,103,21,6139,144,128,495,65,255,715,79,23,3482,4,28,28,2,18,405,425,5,601,19109,13,304,43,376,30,74,12,994,12,3,12689,345,596,139,748,400,23,20,173,223,0,3,11,64,121,1282,2336,111,295,74,1207,15,6,1567,144,376,123,418,49,9,10445,911,1825,295,3470,2143,9,39,1240,3871,10,1322,136,586,12,46,360,55,2752,613,5,2,11,11820,123,186,8,59,24,10,23,13,293,4,21,13213,18,121,42
"TCGA.EL.A3MX.11A",916,1505,64,3699,2746,351,126,393,1514,3691,287,808,33,142,318,7135,2519,578,578,2038,274,2063,20,5,165,827,890,5674,3277,4993,4692,161,355,17,393,3754,37,630,3004,312,98,2275,2271,400,208,851,264,2642,400,298,644,15,153,1731,4544,84,95,1188,2509,476,498,10,165,7756,90,13668,25,225,219,42,11882,98,122,443,131,13125,1579,148,30,9947,33,94,80,23,59,679,718,2,3466,33046,71,142,121,485,52,217,103,1286,27,18,15836,320,1078,458,1110,2900,115,34,639,524,3,24,4,175,219,2852,4015,281,262,30,2633,5,4,1237,611,698,40,1070,49,18,9480,778,933,146,5142,1897,63,69,1439,9989,55,2482,156,732,23,18,229,99,32506,549,6,27,31,4102,144,515,44,12,113,9,85,27,325,7,20,10020,69,385,57
"TCGA.EL.A3ZL.11A",686,1010,42,5157,1907,317,50,280,1700,2100,337,507,7,131,122,7705,2955,346,603,737,67,400,12,5,80,485,136,4671,4705,1494,7479,255,139,2,442,1485,13,628,641,231,124,1208,1508,245,40,597,349,1133,639,411,683,20,156,562,3645,49,103,775,2186,185,206,6,97,3937,74,6501,35,215,122,15,27540,103,113,1268,61,1664,442,162,63,8614,4,39,184,4,39,1122,681,42,1038,43723,4,163,17,374,35,243,27,3421,21,12,13025,265,743,556,2145,1422,82,52,217,409,1,43,6,193,208,2714,1813,159,782,49,2237,42,2,1878,396,457,55,185,67,10,6135,1197,562,277,3934,909,30,63,1282,7092,50,1959,194,1124,31,71,257,432,8370,1202,6,15,21,9183,35,156,11,25,57,2,52,43,136,6,24,14573,47,490,133
"TCGA.EL.A3ZR.11A",884,1353,74,4672,2915,201,88,367,1547,3178,277,1357,57,178,301,9056,2162,623,696,1610,85,1740,17,15,146,1264,253,5300,6397,10483,9897,121,221,8,661,3464,47,866,1850,226,234,1295,1015,457,231,565,412,2391,447,530,604,11,232,721,4926,80,300,996,3360,243,277,3,317,5167,55,6251,20,165,250,35,22628,173,42,623,63,1408,840,148,55,7820,18,25,55,4,121,330,1012,21,807,51589,9,104,28,801,87,252,23,3420,23,11,11022,328,1076,310,2690,1350,95,30,332,757,7,23,12,335,300,2520,4758,259,374,49,2196,47,7,1907,228,853,89,795,97,37,8514,1240,1280,186,4581,2017,28,108,1668,10488,46,2775,197,1246,30,24,665,203,7841,581,4,12,42,4790,59,353,8,33,75,8,63,34,312,16,26,14536,63,275,149
"TCGA.EL.A3ZK.11A",351,247,16,814,894,73,13,222,267,356,61,418,15,47,117,4170,804,413,122,139,30,1571,1,3,56,247,111,2153,3325,2000,1567,32,142,2,122,936,17,247,386,108,67,667,438,80,68,90,127,1122,247,169,142,0,135,562,1145,20,63,778,396,69,73,2,25,2079,23,2022,7,94,104,20,3667,64,90,806,40,349,377,76,21,1483,17,18,27,6,21,65,384,4,317,9357,1,47,56,289,25,53,4,620,5,5,10977,128,491,74,962,936,34,33,110,272,0,1,4,50,103,570,718,126,144,30,724,17,1,1207,156,370,37,400,59,5,6467,253,583,146,2244,1227,18,23,549,2857,15,680,75,239,6,24,249,75,1597,520,1,10,6,5161,53,100,6,10,8,5,17,21,168,8,13,10788,23,104,13
"TCGA.GE.A2C6.11A",495,278,18,3125,732,128,65,197,740,1988,63,249,21,74,44,3233,1739,110,203,103,21,337,5,2,51,171,101,2281,3376,1113,1242,31,64,1,92,782,1,407,226,148,40,707,1233,126,21,159,253,1531,311,144,114,4,27,707,895,40,44,833,480,56,92,3,32,1530,49,3323,13,137,63,7,3724,196,201,343,59,665,510,55,28,2192,5,25,57,8,39,124,311,15,366,12550,3,156,26,207,12,57,8,514,7,2,22270,151,368,137,1078,330,24,28,221,262,2,3,2,108,86,884,930,97,247,47,1133,7,1,1209,226,208,66,231,80,7,5981,514,448,211,2025,1736,3,40,1355,2353,6,1031,86,364,10,34,217,150,2434,355,3,2,23,12396,71,178,4,24,11,0,21,12,142,5,6,19434,18,86,32
"TCGA.BJ.A28W.11A",13,15,0,68,81,15,1,12,11,67,4,0,1,0,7,208,194,17,24,0,1,46,0,0,8,4,1,737,1041,885,15,9,2,1,7,27,0,12,12,9,2,115,7,0,4,15,23,40,12,3,15,0,21,18,133,1,0,16,0,2,3,0,0,156,0,117,1,28,2,0,281,8,0,65,0,406,11,35,0,30,0,2,1,1,0,1,79,1,47,473,3,1,1,31,0,1,3,0,1,1,15,1,80,21,34,61,6,4,34,30,0,5,0,92,11,2,81,4,49,0,35,1,0,159,94,113,1,28,11,0,1149,63,37,4,208,215,0,3,55,1047,1,35,5,3,0,18,2,1,876,95,0,0,5,441,0,26,0,1,0,0,1,0,32,1,0,2667,7,13,4
"TCGA.EL.A3ZP.11A",644,420,31,2120,991,206,44,234,885,1393,194,778,5,64,215,4715,1664,1023,346,144,21,1415,2,4,140,442,95,4627,6671,1947,4191,67,162,3,245,2963,21,407,1404,298,121,1202,448,169,81,428,387,1877,442,574,278,7,206,389,2612,44,23,851,2089,113,267,4,55,4445,65,1659,27,163,97,10,15094,201,168,540,107,1434,900,119,37,3542,9,47,59,2,28,186,584,15,1177,22102,15,156,24,647,59,130,15,1900,7,10,17895,166,747,196,2271,755,52,12,298,431,4,16,3,114,134,3055,1600,194,310,56,1932,23,5,2109,283,512,98,734,115,23,9047,1730,1086,306,4433,2619,7,55,1557,10361,9,1986,194,720,10,40,400,113,6549,724,5,7,28,15097,101,110,32,4,24,2,34,23,525,8,23,17744,64,203,111
"TCGA.EL.A3T7.11A",821,742,43,3036,2046,232,56,318,812,1332,128,616,9,130,267,4203,1480,267,398,790,71,1083,8,9,103,573,222,3561,3217,5561,4522,51,161,3,398,2261,21,427,1029,173,68,1247,2828,387,183,325,172,1535,317,327,371,9,114,693,2417,37,122,488,1650,317,194,4,198,3087,37,11485,26,137,86,30,10292,81,44,1177,39,961,686,74,27,5713,15,37,68,8,74,197,654,5,737,32608,4,98,49,420,57,122,21,926,23,15,7848,120,597,169,1159,1308,86,32,234,570,1,12,5,148,165,2316,2357,146,238,23,1946,15,3,1266,175,531,80,503,51,7,6192,657,696,534,4419,1634,56,75,963,5555,35,1380,97,740,8,15,370,80,6678,473,2,11,21,3227,71,191,12,23,44,3,56,30,111,5,16,6959,61,122,37
"TCGA.KS.A41I.11A",283,404,42,1914,523,201,82,171,581,382,158,340,0,59,63,7274,1415,198,188,82,20,1168,4,1,66,153,101,2396,3741,1722,1364,12,89,8,229,1061,3,413,403,191,34,1142,587,134,12,601,254,1623,356,64,169,18,188,886,571,31,59,996,221,89,154,4,9,2529,32,818,33,131,80,12,3452,215,185,383,110,374,641,160,39,2213,10,21,6,2,16,259,330,7,857,11698,7,168,26,407,32,89,6,301,10,13,19560,312,618,199,757,566,49,2,491,221,1,2,6,61,103,343,1080,65,452,49,943,20,4,1956,298,541,63,391,95,8,11399,366,840,264,2513,2344,12,9,641,2105,5,1162,71,160,6,53,94,47,2103,752,0,2,16,14558,49,250,11,4,8,4,23,12,236,10,9,17103,42,82,33
"TCGA.BJ.A28X.11A",1322,1264,25,4160,1595,220,89,414,1217,1587,211,1127,1,253,238,7672,2533,461,600,207,88,1970,3,2,185,679,165,5945,10834,1168,5116,80,160,3,575,3529,39,1215,561,277,208,1768,3358,298,74,460,565,5034,735,371,423,7,81,1183,2560,82,129,2385,1963,271,177,11,49,4133,55,5142,18,186,149,28,17718,362,305,971,197,1058,967,140,55,9799,8,49,94,13,53,257,961,18,992,42366,6,330,49,748,60,160,12,1657,16,10,50200,476,1233,372,2006,630,95,13,184,715,0,4,46,139,234,2416,2894,140,346,74,2792,16,6,3873,418,561,137,1071,156,21,22926,1207,1860,603,6841,2374,28,60,2608,7352,16,2533,238,1061,9,98,698,197,7683,851,5,15,55,32243,184,535,15,33,37,4,111,37,519,13,21,32180,65,196,149
"TCGA.EL.A3T0.11A",827,879,40,6712,1636,236,53,391,1435,3199,303,660,11,71,194,7372,3344,902,420,1061,106,1980,43,6,80,556,197,4517,4636,1212,5955,92,212,2,255,2141,27,549,761,196,108,1754,3308,350,71,686,243,2071,701,376,317,10,105,1717,1939,42,103,1367,2277,528,285,15,52,4948,73,2700,27,312,173,24,12691,181,89,698,111,1020,738,142,84,6532,11,24,92,4,40,465,778,42,1380,30711,28,149,64,551,51,131,15,1537,16,10,22274,556,827,358,1127,845,81,9,379,573,2,17,8,211,286,2017,1559,151,261,46,1414,23,5,2025,401,356,80,611,63,23,8327,515,1031,495,4268,1778,39,60,1474,9449,61,1809,172,1014,11,106,341,124,7360,488,11,9,15,9976,63,308,37,21,47,3,98,40,281,15,24,12708,59,98,68
